,Tienda,Zona,Formato,Dirección,IDTienda
0,Tienda 1,Panamá Metro,Supermercado,"Plaza Concordia, Vía España, Panama City",4907
1,Tienda 10,Panamá Metro,Conveniencia,"Centro Comercial La Mañana, Panamá",4932
2,Tienda 11,Colón,Supermercado,"Calle 13, Panamá",4906
3,Tienda 12,Panamá Metro,Conveniencia,Centro Comercial Villa Lucre,4976
4,Tienda 13,Panamá Oeste,Supermercado,"Plaza Hotel Las Lajas, Panamá",4943
5,Tienda 14,Panamá Metro,Supermercado,"Calle 50, Panamá",4918
6,Tienda 15,Panamá Oeste,Supermercado,"Blvd. Costa Verde, La Chorrera, Panamá",4929
7,Tienda 16,Colón,Conveniencia,"Calle 7ma 8, Colón, Panamá",4927
8,Tienda 17,Panamá Metro,Supermercado,"Plaza Las Americas, Panamá",4964
9,Tienda 18,Panamá Metro,Supermercado,"Vía Centenario, Panamá",4973
10,Tienda 19,Panamá Metro,Supermercado,"Avenida La Paz, Panamá",4981
11,Tienda 2,Panamá Oeste,Supermercado,"Carr.Panamericana, Villas del Carrizal, Arraiján",4963
12,Tienda 20,Prov. Centrales,Hipermercado,"El Valle de Antón, Panamá",4958
13,Tienda 21,Panamá Metro,Supermercado,"Brisas Norte, Las Cumbres",11196
14,Tienda 22,Panamá Metro,Supermercado,"Sta. María Business District, frente al Hombre que saluda, Panamá",4951
15,Tienda 23,Panamá Metro,Hipermercado,"Calle B, Santa Ana",4910
16,Tienda 24,Panamá Metro,Supermercado,"Plaza Versalles, Panamá",4937
17,Tienda 25,Panamá Metro,Supermercado,"Brisas del Golf, frente a Centro Comercial Las Arcadas",4979
18,Tienda 26,Panamá Oeste,Supermercado,"Carr. Panamericana, Vista Alegre, Panamá",4917
19,Tienda 27,Panamá Metro,Supermercado,"Av 6 Sur, Panamá",4966
20,Tienda 28,Prov. Centrales,Supermercado,"Plaza Boulevard Santiago, Carr. Panamericana, Santiago, Panamá",4905
21,Tienda 29,Chiriquí / Bocas,Supermercado,"Avenida Francisco Clark, David, Chiriquí, Panamá",4938
22,Tienda 3,Panamá Metro,Supermercado,"Centro Comercial Paseo Albrook, Panamá",4931
23,Tienda 30,Prov. Centrales,Supermercado,"Boulevard Penonome, Cocle",6376
24,Tienda 31,Panamá Metro,Supermercado,"PH Benedetti, frente al salón de eventos del American Trade, Avenida Central, entre calle 10 y11.",4934
25,Tienda 32,Panamá Metro,Supermercado,"Avenida Omar Torrijos Herrera, a lado de cake factory y Autoridad Marítima de Panamá.",4982
26,Tienda 33,Prov. Centrales,Supermercado,"Mall Paseo Central, Chitre",4983
27,Tienda 4,Panamá Oeste,Hipermercado,"La Chorrera, Calle del Puerto, La Chorrera, Panamá",4930
28,Tienda 5,Panamá Metro,Hipermercado,"Av. 12 de Octubre, Panamá",4952
29,Tienda 6,Colón,Supermercado,"Av. Randolph, Cativá, Panamá",4959
30,Tienda 7,Panamá Metro,Supermercado,"Las Cumbres, Milla 8",4968
31,Tienda 8,Colón,Hipermercado,"Sabanitas, Panamá",4913
32,Tienda 9,Panamá Metro,Hipermercado,"Parque lefevre, Via España, Panamá",4921
